page_title,latitude,longitude,hitcount
Bundesprüfstelle für jugendgefährdende Medien,50.7214,7.06007,2699
"Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit",50.707,7.13858,1995
Bundesministerium für Bildung und Forschung,50.7034,7.13917,1636
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,50.7194,7.11929,1478
Bundeszentrale für politische Bildung,50.7277,7.10929,1458
Bundeskartellamt,50.7225,7.11664,1282
Friedrich-Ebert-Stiftung,50.7022,7.13484,1259
Bundesministerium für Ernährung und Landwirtschaft,50.7196,7.06146,1085
Institut zur Zukunft der Arbeit,50.7301,7.10936,301
Deutsche UNESCO-Kommission,50.7317,7.09381,269
Friedrich-Ebert-Brücke (Bonn),50.7569,7.10056,224
UN-Campus,50.7181,7.12722,199
Kennedybrücke (Bonn),50.7381,7.10917,198
Konrad-Adenauer-Haus (Bonn),50.7083,7.13,186
Konrad-Adenauer-Brücke (Bonn),50.7175,7.14333,165
Frauenmuseum (Bonn),50.7407,7.09226,135
Erich-Ollenhauer-Haus,50.7101,7.12667,118
Bibliothek der Friedrich-Ebert-Stiftung Bonn,50.7021,7.13483,87
Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern,50.717,7.1265,77
Archiv der sozialen Demokratie,50.7025,7.1348,75
Konrad-Adenauer-Denkmal (Bonn),50.7193,7.11917,64
Haus der Krebs-Selbsthilfe,50.735,7.09464,39
Landesvertretung der Freien und Hansestadt Hamburg (Bonn),50.7162,7.10997,39
Thomas-Dehler-Haus (Bonn),50.7165,7.12012,36

