page_title,latitude,longitude,hitcount
Wiener Rathaus,48.2108,16.3574,3000
Jugendmedienkommission,48.21,16.3631,2964
Vienna International Centre,48.2347,16.4169,1074
Internationale Atomenergie-Organisation,48.2347,16.4169,915
Bundesministerium für Landesverteidigung und Sport,48.2186,16.3686,467
"Bundesministerium für Verkehr, Innovation und Technologie",48.2107,16.3861,342
Bundesdenkmalamt,48.1817,16.3921,284
Wirtschaftsagentur Wien. Ein Fonds der Stadt Wien,48.2117,16.3577,41
Verband der Öffentlichen Wirtschaft und Gemeinwirtschaft Österreichs,48.2093,16.3563,36


